英文名,中文名,美区价格,港区价格,中文,评分,年份
Star Wars Jedi: Fallen Order,星球大战 绝地: 陨落的武士团,40,396.5,中,83,2019
STAR WARS™ Battlefront™,星球大战 战场前线,20,159,中,71,2015
Star Wars™ Battlefront™ II,星球大战 战场前线 2,40,159,中,68,2017
STAR WARS™: Squadrons,星球大战 战机中队,40,318.5,中,79,2020
Stardew Valley,星露谷物语,15,99,中,89,2016
State of Decay 2: Juggernaut Edition,腐烂国度 2,30,209,中,69,2018
State of Decay: Year-One,腐烂国度:一周年生存版,20,159,,74,2015
Stellaris: Console Edition,群星,40,199,中pc,80,2019
Subnautica,深海迷航,30,234,中,85,2018
Subnautica: Below Zero,深海迷航: 零度之下,30,234,中,83,2021
Sunset Overdrive,日落过载,20,159,,83,2014
Super Lucky's Tale,,15,,中,67,2017
Super Mega Baseball 3,超级棒球 3,45,149,,82,2020
SUPERHOT: MIND CONTROL DELETE,燥热: 意念控制删除,25,189,中,81,2020
Superliminal,超阈限空间,20,154,中,75,2020
Supraland,火柴人解密大冒险,20,154,中,77,2019
Surgeon Simulator 2,外科模拟 2,20,154,中,69,2020
Taiko no Tatsujin: The Drum Master!,太鼓达人 鼓咚大师,50,399,中,78,2020
Tainted Grail: Conquest,污痕圣杯: 征服,20,154,中,80,2021
Tell Me Why: Chapters 1-3,谓何: 第1-3章,20,159,,81,2020
Telling Lies,撒谎,20,154,中,79,2019
Terraria,泰拉瑞亚,20,115,,79,2021
Tetris Effect: Connected,俄罗斯方块效应: 联结,40,309,中,89,2020
The Anacrusis,,30,234,中,,2022
The Artful Escape,奇妙逃亡,20,154,中,80,2021
The Ascent,上行战场,30,218,中,73,2021
"The Bard's Tale ARPG ",冰城传奇 重制版,20,89,,75,2020
The Bard' s Tale IV: Director' s Cut,冰城传奇4: 导演剪辑版,40,309,,79,2019
The Bard's Tale Trilogy,冰城传奇三部曲,15,76,,,2019
The Dungeon Of Naheulbeuk,"纳赫鲁博王国地下城: 混沌护符 ",40,174,中,68,2020
The Elder Scrolls III: Morrowind,上古卷轴3: 晨风,15,,,88,2003
The Elder Scrolls V: Skyrim Special Edition,上古卷轴 5 天际 特别版,40,309,中,81,2016
The Elder Scrolls Online,上古卷轴OL,20,155,,71,2014
